Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
Remote Door/Window,Remote Door/Window,Enum,0-1,binaryInput,presentValue,FALSE,7,,
Remote Occupancy,Remote Occupancy,Enum,0-1,binaryInput,presentValue,FALSE,8,,
CO2 Sensor Value,CO2 Sensor Value,partsPerMillion,0.00 to 10000.00,analogInput,presentValue,FALSE,15,,Resolution: 1
CO2 Sensor Max Reading,CO2 Sensor Max Reading,partsPerMillion,0.00 to 10000.00,analogValue,presentValue,FALSE,17,,
CO2 High Limit Setting,CO2 High Limit Setting,partsPerMillion,500.00 to 2000.00,analogValue,presentValue,FALSE,18,,
CO2 High Level Detected,CO2 High Level Detected,Enum,0-1,binaryInput,presentValue,FALSE,9,,
CO2 Max Reset Setting,CO2 Max Reset Setting,Enum,0-1,binaryValue,presentValue,FALSE,13,,
CO2 Display Setting,CO2 Display Setting,State,State count: 3,multiStateValue,presentValue,FALSE,5,,"1=ON, 2=ALERT"
Digital Input 1,Digital Input 1,Enum,0-1,binaryInput,presentValue,FALSE,3,,
Digital Input 2,Digital Input 2,Enum,0-1,binaryInput,presentValue,FALSE,4,,
Occupancy Input,Occupancy Input,Enum,0-1,binaryInput,presentValue,FALSE,5,,
Outdoor Temperature,Outdoor Temperature,degreesFahrenheit,-50.00 to 124.00,analogInput,presentValue,FALSE,3,,Resolution: 1
Outdoor Humidity,Outdoor Humidity,percentRelativeHumidity,0.00 to 100.00,analogInput,presentValue,FALSE,4,,Resolution: 1
Active Cool Setpoint,Active Cool Setpoint,degreesFahrenheit,60.00 to 108.00,analogInput,presentValue,FALSE,16,,Resolution: 1
Active Heat Setpoint,Active Heat Setpoint,degreesFahrenheit,38.00 to 88.00,analogInput,presentValue,FALSE,17,,Resolution: 1
Active Setpoint,Active Setpoint,degreesFahrenheit,38.00 to 108.00,analogInput,presentValue,FALSE,18,,Resolution: 1
Recirc Fan Timer Mins/Hr,Recirc Fan Timer Mins/Hr,minutes,,positiveIntegerValue,presentValue,FALSE,12,,
BAS Outdoor Temperature,BAS Outdoor Temperature,degreesFahrenheit,-50.00 to 124.00,analogValue,presentValue,FALSE,19,,
BAS Outdoor Humidity,BAS Outdoor Humidity,percentRelativeHumidity,0.00 to 100.00,analogValue,presentValue,FALSE,20,,
KHD Relay Operation,KHD Relay Operation,State,State count: 8,multiStateValue,presentValue,FALSE,6,,"1=DAMPER, 2=DEHUM, 3=HUM, 4=MANUAL, 5=SCHEDULE, 6=IAQ, 7=CO2"
K2 Relay Operation,K2 Relay Operation,State,State count: 6,multiStateValue,presentValue,FALSE,7,,"1=DAMPER, 2=MANUAL, 3=SCHEDULE, 4=IAQ, 5=CO2"
KHD Manual Operation,KHD Manual Operation,Enum,0-1,binaryValue,presentValue,FALSE,14,,
K2 Manual Operation,K2 Manual Operation,Enum,0-1,binaryValue,presentValue,FALSE,15,,
