Time,53112/Operation Mode,53112/Occ Cooling Setpoint,53112/Occ Heating Setpoint,53112/Occupancy Mode,53112/Cooling & Heating Setpoint Tracking Mode,53112/Fan Speed
0,1,74,70,1,0,
1,1,74,70,1,0,
2,1,74,70,1,0,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,

