Time,53106/Operation Mode,53106/Occ Cooling Setpoint,53106/Occ Heating Setpoint,53106/Occupancy Mode,53106/Cooling & Heating Setpoint Tracking Mode,53106/Fan Speed
0,1,76,,1,0,
1,1,76,,1,0,
2,1,76,,1,0,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
